Status,Size,Volt(pu),Ang(Deg)
High Load,49,0.9280084469620309,-22.939253306152732
Line Down,47,0.980965654466328,7.490167451609871
Generator Down,53,0.9896411671084692,-5.933008246001186
Low Load,51,1.0003348826205067,12.861522287481401
