Time, Volt(pu),Ang(Deg),Status
112.0,0.9851919757302311,8.082631613360594,Low Load
48.0,0.8154364218789943,-28.038178376629357,High Load
157.0,0.9829715064605096,7.727578372158774,Low Load
105.0,0.9363998994737452,-1.74658938523805,Line Down
139.0,0.7956569454044911,-30.545996975346522,High Load
51.0,0.9354076710714784,-2.6819216227917284,Line Down
111.0,0.7833606161558974,-32.54974366503502,High Load
169.0,0.9817438964388878,6.997804524601464,Low Load
64.0,0.935478185926099,-2.047455913513817,Line Down
174.0,0.8190513557359937,-29.43228910646202,High Load
54.0,0.9822350542017346,7.359443546323157,Low Load
94.0,0.9349353892987236,-1.9118819648559087,Line Down
141.0,0.9825185340919204,8.254558883907075,Low Load
15.0,0.9627519419825746,-8.579238600426361,Generator down
96.0,0.9621149059450091,-8.94942812549033,Generator down
144.0,0.9629886830087404,-8.375386152279328,Generator down
107.0,0.9841543485125583,6.916991809445663,Low Load
52.0,0.9333992356158256,-1.3594196427967817,Line Down
1.0,0.7918066220503786,-31.383217518318283,High Load
21.0,0.9623880476475491,-8.750932948740795,Generator down
68.0,0.9624314106444558,-8.880184296275127,Generator down
175.0,0.96227880311803,-8.971784120562845,Generator down
80.0,0.9809964100102805,7.64007053311727,Low Load
127.0,0.9338361755036876,-1.621887661080229,Line Down
88.0,0.788663680644493,-32.797550888558,High Load
10.0,0.9817816533242891,8.176654799235324,Low Load
135.0,0.9783010464693574,8.338600389258103,Low Load
58.0,0.8225472951884522,-29.759668294171448,High Load
115.0,0.8043002496004611,-29.735504521815905,High Load
164.0,0.9798079002401738,7.955485965714682,Low Load
193.0,0.7950133667215525,-30.72862085077535,High Load
36.0,0.9333471975350434,-1.907302917098625,Line Down
7.0,0.9819309898982578,7.751866153000462,Low Load
42.0,0.9627724554376949,-8.467135895191467,Generator down
49.0,0.961874949377161,-8.802374614201998,Generator down
120.0,0.9359529225636913,-1.9771420138139002,Line Down
191.0,0.8180100316911685,-30.563467332893417,High Load
83.0,0.8188131044530106,-28.57192101875866,High Load
166.0,0.9826204804826113,7.343481283888591,Low Load
19.0,0.9337333538986302,-1.551374955524805,Line Down
16.0,0.9355242469187618,-1.748067487906225,Line Down
71.0,0.9837706238880525,7.993670540103632,Low Load
92.0,0.9627771356415077,-8.63138048034988,Generator down
124.0,0.9617148542827143,-9.371769130680649,Generator down
67.0,0.9618895072956296,-8.776299801318473,Generator down
149.0,0.9339671881152405,-2.451133325956929,Line Down
44.0,0.9854745497154526,8.316410822139938,Low Load
2.0,0.8022411455726957,-31.14765401259838,High Load
97.0,0.9340091659791264,-1.271595681906635,Line Down
192.0,0.9619654084200906,-8.892270524013185,Generator down
160.0,0.9851394887544148,7.91167091733252,Low Load
99.0,0.7881964372161608,-33.03341378371602,High Load
161.0,0.9822193666243956,7.010039136732705,Low Load
37.0,0.8258199491234263,-28.4294150467762,High Load
125.0,0.980409433230166,7.8928706077751825,Low Load
123.0,0.9819854138153584,8.034163853259702,Low Load
74.0,0.9356256433338607,-2.263281893595319,Line Down
129.0,0.9848883646757,7.316833798555714,Low Load
133.0,0.9617811122297603,-9.106433141471392,Generator down
179.0,0.9339734838228635,-2.537675609930631,Line Down
45.0,0.9632269630443,-8.446958057372502,Generator down
9.0,0.9330657855746035,-2.1430535633855783,Line Down
101.0,0.9620697084384817,-8.755886898107356,Generator down
185.0,0.8278111672534383,-28.63815774433268,High Load
98.0,0.9618107154873989,-9.074832794040397,Generator down
81.0,0.9858868845957081,7.85786127688207,Low Load
