Time, Volt(pu),Ang(Deg),Status
122.0,1.0,24.649767472328772,Low Load
118.0,0.9999999999999999,24.69330443092349,Low Load
3.0,0.9999999999999998,-18.6725594916173,High Load
66.0,0.9999999999999999,1.5352825096227654,Generator down
31.0,0.9999999999999999,-20.865013664284835,High Load
78.0,1.0,-17.919823280970046,High Load
130.0,1.0,24.87712780473672,Low Load
13.0,0.9999999999999999,-21.58192921728096,High Load
190.0,0.9999999999999999,19.28072470795918,Line Down
110.0,0.9999999999999999,24.167058715375838,Low Load
79.0,0.9999999999999999,1.7396441438545855,Generator down
93.0,0.9999999999999999,2.267526983768297,Generator down
145.0,0.9999999999999998,-22.978877863817793,High Load
72.0,0.9999999999999997,1.9350431291830827,Generator down
89.0,0.9999999999999999,24.181979911379123,Low Load
188.0,0.9999999999999998,24.618937143992756,Low Load
6.0,0.9999999999999999,18.80623419757336,Line Down
60.0,0.9999999999999998,2.350690367139682,Generator down
189.0,0.9999999999999999,24.48284429295213,Low Load
176.0,1.0,2.4450765145492728,Generator down
158.0,0.9999999999999999,23.834095601061662,Low Load
46.0,0.9999999999999999,1.2672476297994628,Generator down
28.0,0.9999999999999999,18.99625722984205,Line Down
200.0,0.9999999999999998,18.515161094464514,Line Down
134.0,1.0,1.4201998429963878,Generator down
95.0,1.0,17.939931817449725,Line Down
39.0,0.9999999999999997,-21.4380287075444,High Load
69.0,1.0,-19.72559711545161,High Load
5.0,0.9999999999999999,1.8152851979854012,Generator down
30.0,1.0,-20.164332095489545,High Load
131.0,0.9999999999999998,-18.274806422998445,High Load
27.0,0.9999999999999999,18.437881553436355,Line Down
70.0,1.0,2.1909126019287615,Generator down
143.0,0.9999999999999999,18.925426229865028,Line Down
35.0,0.9999999999999999,-19.686977907282834,High Load
43.0,1.0,24.43518675505038,Low Load
137.0,0.9999999999999999,24.886569278401108,Low Load
199.0,0.9999999999999997,1.5310632308496686,Generator down
8.0,0.9999999999999999,-24.378676047236215,High Load
155.0,1.0,1.8907789701078088,Generator down
187.0,0.9999999999999998,18.638435949478197,Line Down
112.0,1.0,24.979954366403703,Low Load
48.0,0.9999999999999996,-18.666294528646137,High Load
157.0,0.9999999999999999,24.358107552221263,Low Load
105.0,0.9999999999999998,18.03651407253927,Line Down
139.0,0.9999999999999998,-20.606973405204236,High Load
51.0,1.0,17.143349058434474,Line Down
111.0,1.0,-23.20873497399895,High Load
169.0,0.9999999999999999,23.77668224592941,Low Load
64.0,1.0,17.89488485486818,Line Down
174.0,0.9999999999999999,-20.721507870252285,High Load
54.0,1.0,23.967877076072803,Low Load
94.0,0.9999999999999999,18.272272875155778,Line Down
141.0,1.0,25.24598044182559,Low Load
15.0,0.9999999999999999,2.2077005486473245,Generator down
96.0,0.9999999999999998,1.7956496021923942,Generator down
144.0,0.9999999999999999,2.4700142836098204,Generator down
107.0,1.0,23.59306139682988,Low Load
52.0,0.9999999999999997,19.193616661493188,Line Down
1.0,0.9999999999999997,-22.93983302698779,High Load
21.0,0.9999999999999999,2.0645680365928025,Generator down
68.0,1.0,1.8046123628821915,Generator down
175.0,0.9999999999999999,1.6771637835779876,Generator down
80.0,1.0,24.468971115706744,Low Load
127.0,0.9999999999999999,18.81656333146884,Line Down
88.0,0.9999999999999999,-23.775939232238066,High Load
10.0,1.0,25.24359881720071,Low Load
135.0,0.9999999999999999,25.30766019229121,Low Load
58.0,0.9999999999999999,-20.61831329558666,High Load
115.0,1.0,-20.90227668862133,High Load
164.0,0.9999999999999997,24.980132757699987,Low Load
193.0,0.9999999999999999,-20.943854818524976,High Load
36.0,0.9999999999999998,18.695836120390908,Line Down
7.0,1.0,24.549935344736646,Low Load
42.0,0.9999999999999999,2.406438626642481,Generator down
49.0,0.9999999999999999,2.175618634788428,Generator down
120.0,0.9999999999999999,18.019541013782504,Line Down
191.0,0.9999999999999999,-21.327056356320245,High Load
83.0,0.9999999999999997,-20.030785131125345,High Load
166.0,0.9999999999999999,24.359728115357964,Low Load
19.0,0.9999999999999999,18.98647642824261,Line Down
16.0,1.0,18.229665741215502,Line Down
71.0,1.0,24.649965780495016,Low Load
92.0,0.9999999999999998,2.105201128637426,Generator down
124.0,1.0,1.1631326991860897,Generator down
67.0,0.9999999999999999,2.211538020311459,Generator down
149.0,0.9999999999999999,17.825585542125495,Line Down
44.0,1.0,25.2389420391534,Low Load
2.0,0.9999999999999998,-21.67068478458305,High Load
97.0,1.0,19.162863512463396,Line Down
192.0,0.9999999999999998,1.9644216007242181,Generator down
160.0,0.9999999999999999,24.809681801248207,Low Load
99.0,0.9999999999999999,-23.957109266465707,High Load
161.0,1.0,23.865960802115183,Low Load
37.0,0.9999999999999998,-19.361616306786267,High Load
125.0,0.9999999999999998,24.952331175578824,Low Load
123.0,1.0,25.09597143083008,Low Load
74.0,0.9999999999999999,17.743115311882374,Line Down
129.0,1.0,24.522941063755304,Low Load
133.0,0.9999999999999999,1.660738822130358,Generator down
179.0,0.9999999999999998,17.656935641347566,Line Down
45.0,0.9999999999999999,2.2635255852524114,Generator down
9.0,1.0,18.37065097451022,Line Down
101.0,1.0,2.1833840276999568,Generator down
185.0,0.9999999999999998,-19.209281912416035,High Load
98.0,0.9999999999999997,1.686341506041614,Generator down
81.0,1.0,24.470222931857045,Low Load
87.0,0.9999999999999998,19.15264771304583,Line Down
24.0,0.9999999999999998,1.053540683556638,Generator down
172.0,0.9999999999999999,-22.860362921750653,High Load
183.0,0.9999999999999999,-22.232041244360413,High Load
181.0,0.9999999999999999,-19.355161231349886,High Load
