Time, Volt(pu),Ang(Deg),Status
122.0,0.9913312404834795,4.378526782815695,Low Load
118.0,0.9896787386127575,4.366784435286911,Low Load
3.0,0.9022545166199242,-14.305622731855227,High Load
66.0,0.9894500929610578,-5.394643093216772,Generator down
31.0,0.9008426213982434,-15.314282267542241,High Load
78.0,0.9110907816354075,-14.120735058563557,High Load
130.0,0.9913099975689815,4.336771254436739,Low Load
13.0,0.8928228803366551,-15.483395413622983,High Load
190.0,0.9725128535011633,-2.384678133793189,Line Down
110.0,0.9895318529885095,4.03637363609404,Low Load
79.0,0.9888853744859353,-5.461312429412379,Generator down
93.0,0.9902619734160774,-5.043823686389851,Generator down
145.0,0.8843480579143448,-16.118175839508982,High Load
72.0,0.9893536037244752,-5.311277771593307,Generator down
89.0,0.9932207568756997,4.099630222105581,Low Load
188.0,0.9895562983341397,4.2886218394485836,Low Load
6.0,0.9716826979266235,-2.732667248521267,Line Down
60.0,0.9898482601652361,-5.102806877860678,Generator down
189.0,0.9896772650846822,4.233386623370143,Low Load
176.0,0.989961118893857,-5.066344475344639,Generator down
158.0,0.9910807041053611,3.8170721147754607,Low Load
46.0,0.988939585120252,-5.569143755854672,Generator down
28.0,0.9726268058614215,-2.4521191518634677,Line Down
200.0,0.9720954028039632,-2.7106149931089116,Line Down
134.0,0.9895109498673188,-5.406875557350773,Generator down
95.0,0.9719254981991761,-2.9928322094565605,Line Down
39.0,0.8917452939733947,-15.273625476664943,High Load
69.0,0.8949829016509114,-14.916284408071006,High Load
5.0,0.9898241438033989,-5.264663439529062,Generator down
30.0,0.9018420628456922,-14.717395906081103,High Load
131.0,0.9097548154266004,-14.370899911353591,High Load
27.0,0.9714565729766698,-2.898802815541431,Line Down
70.0,0.9900141476304487,-5.100776119997733,Generator down
143.0,0.9724605642780243,-2.5378102386434893,Line Down
35.0,0.902104683725816,-14.673761237443536,High Load
43.0,0.9904552169396537,4.155482357239819,Low Load
137.0,0.9922131991808131,4.321590921546214,Low Load
199.0,0.9890238340877728,-5.4875578070662785,Generator down
8.0,0.8774809036517929,-16.56733076775781,High Load
155.0,0.9903052284288135,-5.135209332581411,Generator down
187.0,0.9730453081610977,-2.5293558930669318,Line Down
112.0,0.9898667648694077,4.35899150672987,Low Load
48.0,0.899293647815184,-14.533262203956024,High Load
157.0,0.9906891346548544,4.138338964319661,Low Load
105.0,0.972695536288876,-2.7727717047772176,Line Down
139.0,0.8919783640041745,-15.165868389503558,High Load
51.0,0.9725317830204326,-3.1471703955006745,Line Down
111.0,0.8796104648307003,-16.269743780937155,High Load
169.0,0.9904629067871951,3.8525396306576103,Low Load
64.0,0.9724036532892942,-2.8933816928334997,Line Down
174.0,0.9011490290341662,-15.084082349357153,High Load
54.0,0.9920025935341783,3.9663767590290737,Low Load
94.0,0.9726927697265917,-2.729781671107462,Line Down
141.0,0.9885968632572164,4.528903502953746,Low Load
15.0,0.9899096946279154,-5.143185909596167,Generator down
96.0,0.989635667968253,-5.307200727889005,Generator down
144.0,0.9899245545268177,-5.072605789992209,Generator down
107.0,0.9917163150045574,3.7814437688794826,Low Load
52.0,0.971405803632473,-2.608437800600216,Line Down
1.0,0.8831312076759089,-15.977430476835181,High Load
21.0,0.9900916642687354,-5.124132136664338,Generator down
68.0,0.9899854372076891,-5.223353350856214,Generator down
175.0,0.9895632599115936,-5.360626855573891,Generator down
80.0,0.9908592740155481,4.1360990166093465,Low Load
127.0,0.971841051625549,-2.6783922856008613,Line Down
88.0,0.8809116160518383,-16.472724022428658,High Load
10.0,0.98963718850724,4.419873013478089,Low Load
135.0,0.9874172512108184,4.432744969432355,Low Load
58.0,0.9011206980678105,-15.159534203659865,High Load
115.0,0.8941831739699225,-15.085895657981718,High Load
164.0,0.988328887378306,4.403495698804806,Low Load
193.0,0.8881092566828634,-15.411723093235038,High Load
36.0,0.9723911365828419,-2.655650574302935,Line Down
7.0,0.9909010936543973,4.201760360197546,Low Load
42.0,0.9900054771224601,-5.064722921618308,Generator down
49.0,0.9898126959437111,-5.1521635440369264,Generator down
120.0,0.9735167433749015,-2.6744883901563186,Line Down
191.0,0.8999640696781891,-15.379621197564557,High Load
83.0,0.903647577999718,-14.657855160260631,High Load
166.0,0.9909868377839284,4.033280527904531,Low Load
19.0,0.9721718640647778,-2.570140654193537,Line Down
16.0,0.9722770953788921,-2.785549993361111,Line Down
71.0,0.990815453755642,4.370429406549726,Low Load
92.0,0.9899488777360148,-5.161743276003254,Generator down
124.0,0.9892462316432089,-5.5580684256549935,Generator down
67.0,0.9897146241520243,-5.16880016344556,Generator down
149.0,0.9723027595952961,-2.973198121494934,Line Down
44.0,0.9911970004022718,4.519450742257424,Low Load
2.0,0.8905813243481113,-15.753661856677516,High Load
97.0,0.9716656287700756,-2.565385591598207,Line Down
192.0,0.9896277621260703,-5.260209946704883,Generator down
160.0,0.9904413551029552,4.376407557885206,Low Load
99.0,0.8796352884016408,-16.579696925811845,High Load
161.0,0.9910896743401819,3.8481855148688666,Low Load
37.0,0.9008326850266473,-14.739406003565536,High Load
125.0,0.9896240284112451,4.347750102587192,Low Load
123.0,0.9887621148596101,4.3973621564191285,Low Load
74.0,0.9734101818972974,-2.799639756226836,Line Down
129.0,0.9911943499172651,4.04579854598179,Low Load
133.0,0.9898359267060134,-5.279976248600143,Generator down
179.0,0.9719330081173965,-3.085668356062785,Line Down
45.0,0.9902948202191059,-5.04098854161007,Generator down
9.0,0.9716490465051454,-2.8917068591521695,Line Down
101.0,0.9899360106365731,-5.123419366152757,Generator down
