Cluster,Status
1,Low Load
0,High Load
0,High Load
0,High Load
3,Line Down
3,Line Down
1,Low Load
3,Line Down
3,Line Down
0,High Load
2,Generator down
1,Low Load
2,Generator down
1,Low Load
1,Low Load
1,Low Load
2,Generator down
2,Generator down
0,High Load
2,Generator down
