Cluster,Status
3,Low Load
0,High Load
0,High Load
0,High Load
1,Line Down
3,Low Load
3,Low Load
3,Low Load
3,Low Load
0,High Load
2,Generator Down
1,Line Down
2,Generator Down
1,Line Down
1,Line Down
1,Line Down
2,Generator Down
2,Generator Down
0,High Load
2,Generator Down
